latitude,longitude
39.532710, -119.799424
39.532410, -119.800824
39.532210, -119.802124
39.531910, -119.803524
39.531710, -119.804624
39.531610, -119.805124
39.531410, -119.806224
39.531110, -119.808024
39.530810, -119.809224
39.530642, -119.810007
39.530510, -119.810624
39.530310, -119.811924
39.530010, -119.813224
39.529810, -119.814624
39.529610, -119.815824
39.529310, -119.817225
39.529110, -119.818525
39.528910, -119.819925
39.528610, -119.821125
39.528210, -119.823825
39.527710, -119.825825
39.526910, -119.827125
39.528110, -119.829825
39.528342, -119.830433
39.528510, -119.830825
39.528810, -119.831025
39.528910, -119.831125
39.527710, -119.833625
39.527210, -119.837926
39.527146, -119.838587
39.526886, -119.842178
39.526673, -119.845209
39.526502, -119.849954
39.526500, -119.850008
39.526410, -119.852026
39.525926, -119.857443
39.525310, -119.859927
39.524110, -119.862627
39.522038, -119.865699
39.521698, -119.866273
39.521310, -119.866927
39.521237, -119.867114
39.519021, -119.874161
39.518568, -119.876880
39.517616, -119.882590
39.516907, -119.886845
39.516727, -119.887925
39.516705, -119.888055
39.516395, -119.889919
39.515322, -119.896356
39.514610, -119.900629
39.514497, -119.902436
39.514310, -119.904136
39.514310, -119.904227
39.514510, -119.909629
39.515410, -119.916329
39.515478, -119.916693
39.515989, -119.918598
39.516293, -119.922758
39.515733, -119.923926
39.515334, -119.924799
39.514909, -119.925730
39.513509, -119.928630
39.511609, -119.932730
39.511709, -119.946531
39.512609, -119.948531
39.512509, -119.949431
39.512209, -119.952131
39.512209, -119.952631
39.512109, -119.953231
39.512009, -119.953931
39.510509, -119.960632
39.510949, -119.964062
39.511009, -119.964532
39.511309, -119.966432
39.512009, -119.968932
39.513809, -119.987533
39.511983, -119.991821
39.511509, -119.992933
39.511509, -119.993133
39.510263, -119.995577
39.510209, -119.995683
39.507209, -119.997183
39.505893, -119.997405
39.503709, -119.996483
39.502869, -119.996451
39.501048, -119.996371
39.499609, -119.996308
39.497109, -119.996183
39.493309, -119.996033
39.490652, -119.995173
39.487737, -119.994230
39.473119, -119.997458
39.470498, -120.001032
39.468549, -120.002723
39.463288, -120.006151
39.451017, -120.009257
39.450569, -120.009377
39.445114, -120.010844
39.441401, -120.015908
39.435312, -120.026243
39.432411, -120.031094
39.424271, -120.035757
39.424132, -120.035757
39.423219, -120.035757
39.421510, -120.034306
39.418660, -120.031604
39.405104, -120.026596
39.404099, -120.025392
39.403971, -120.025192
39.403510, -120.024492
39.403089, -120.023910
39.399926, -120.022148
39.396847, -120.023300
39.395338, -120.024745
39.395134, -120.024934
39.394606, -120.025423
39.394350, -120.025588
39.393280, -120.025954
39.392434, -120.025866
39.370292, -120.041658
39.371673, -120.052277
39.372682, -120.059961
39.374530, -120.066560
39.379225, -120.072897
39.383992, -120.081305
39.384080, -120.081983
39.384136, -120.083130
39.383976, -120.085458
39.383843, -120.086700
39.383766, -120.087338
39.383701, -120.087874
39.376782, -120.103823
39.374289, -120.108548
39.372626, -120.112407
39.368782, -120.114733
39.368595, -120.114801
39.368367, -120.114883
39.367748, -120.115107
39.367599, -120.115160
39.362517, -120.127061
39.357866, -120.142337
39.356920, -120.143780
39.355091, -120.146285
39.353194, -120.148702
39.345101, -120.158633
39.337292, -120.170644
39.337008, -120.171890
39.336551, -120.174158
39.336002, -120.176249
39.335893, -120.176572
39.335496, -120.177752
39.330899, -120.185965
39.330760, -120.186204
39.330571, -120.186528
39.330210, -120.187087
39.329233, -120.188390
39.326077, -120.191711
39.325345, -120.192860
39.324591, -120.194420
39.324065, -120.196570
39.322920, -120.204903
39.322943, -120.207523
39.322966, -120.210085
39.323284, -120.217653
39.323695, -120.220951
39.323878, -120.223071
39.324174, -120.225604
39.323442, -120.227341
39.323700, -120.228330
39.324181, -120.230169
39.324492, -120.232819
39.325200, -120.236589
39.327371, -120.242186
39.327485, -120.242804
39.328101, -120.245661
39.328580, -120.248194
39.328830, -120.250673
39.328988, -120.255899
39.328783, -120.257902
39.328255, -120.259813
39.326637, -120.266031
39.324997, -120.282554
39.325089, -120.285587
39.325045, -120.285745
39.324018, -120.288474
39.323726, -120.289136
39.323268, -120.290175
39.322985, -120.290816
39.322940, -120.290918
39.322874, -120.291219
39.322708, -120.291986
39.321955, -120.293401
39.321555, -120.295099
39.322618, -120.297586
39.324154, -120.299869
39.324672, -120.301090
39.325243, -120.302436
39.326299, -120.303870
39.326710, -120.305162
39.320367, -120.313748
39.318750, -120.316083
39.317637, -120.320395
39.316653, -120.326107
39.317065, -120.328080
39.317178, -120.328616
39.317222, -120.328824
39.317339, -120.329376
39.317408, -120.330053
39.317339, -120.330966
39.316282, -120.333614
39.316226, -120.333674
39.313652, -120.338274
39.316339, -120.349408
39.316671, -120.349959
39.317247, -120.353977
39.317493, -120.355524
39.318635, -120.358057
39.323114, -120.368455
39.323780, -120.370778
39.323872, -120.371145
39.323808, -120.373684
39.323647, -120.376036
39.323498, -120.378232
39.323434, -120.379184
39.323429, -120.379255
39.323423, -120.379330
39.323384, -120.379933
39.323767, -120.382099
39.324530, -120.384172
39.325102, -120.385792
39.325204, -120.387495
39.324885, -120.391428
39.324899, -120.391505
39.325311, -120.392653
39.324951, -120.393379
